v;merchant_template;content_template;base_template;name
v;armor_body_fighter_normal;v_f_bd_n;vanilla_01;Normal Fighter Body-Armor
v;armor_body_fighter_special;v_f_bd_s;vanilla_02;Special Fighter Body-Armor
v;armor_helm_fighter_normal;v_f_he_n;vanilla_03;Normal Fighter Helmets
v;armor_helm_fighter_special;v_f_he_s;vanilla_04;Special Fighter Helmets
v;armor_gloves_fighter_normal;v_f_gl_n;vanilla_01;Normal Fighter Gloves
v;armor_gloves_fighter_special;v_f_gl_s;vanilla_02;Special Fighter Gloves
v;armor_boots_fighter_normal;v_f_bo_n;vanilla_03;Normal Fighter Boots
v;armor_boots_fighter_special;v_f_bo_s;vanilla_04;Special Fighter Boots
v;armor_shield_fighter_normal;v_f_sh_n;vanilla_01;Normal Fighter Shields
v;armor_shield_fighter_special;v_f_sh_s;vanilla_02;Special Fighter Shields
;;;;
v;armor_body_ranger_normal;v_r_bd_n;vanilla_03;Normal Ranger Body-Armor
v;armor_armor_ranger_special;v_r_amr_s;vanilla_04;Special Ranger Armors
;;;;
v;armor_body_mage_normal;v_m_bd_n;vanilla_01;Normal Mage Body-Armor
v;armor_body_mage_special;v_m_bd_s;vanilla_02;Special Mage Body-Armor
v;armor_hgb_mage_normal;v_m_hgb_n;vanilla_03;Normal Mage Helmets / Gloves / Boots
v;armor_hgb_mage_special;v_m_hgb_s;vanilla_04;Special Mage Helmets / Gloves / Boots
;;;;
;;;;
v;weapon_axe_fighter_normal;v_f_ax_n;vanilla_01;Normal One-Handed Axes
v;weapon_axe_fighter_special;v_f_ax_s;vanilla_02;Special One-Handed Axes
v;weapon_axe2h_fighter_normal;v_f_ax2h_n;vanilla_03;Normal Two-Handed Axes
v;weapon_axe2h_fighter_special;v_f_ax2h_s;vanilla_04;Special Two-Handed Axes
v;weapon_misc_fighter_all;v_f_cdhss;vanilla_01;Misc 1H Fighter Weapons
v;weapon_misc2h_fighter_all;v_f_cdhss2h;vanilla_02;Misc 2H Fighter Weapons
;;;;
;;;;
;;;;
loa;sets;loa_any_sets;loa;LoA Sets
;;;;
loa;armor_body_fighter_all;loa_f_bd;loa;LoA Fighter Armor
loa;armor_hgb_fighter_all;loa_f_hgb;loa;LoA Fighter Helmets / Gloves / Boots
loa;armor_shield_fighter_all;loa_f_sh;loa;LoA Fighter Shields
;;;;
loa;armor_body_ranger_all;loa_r_bd;loa;LoA Ranger Armor
loa;armor_hgb_ranger_all;loa_r_hgb;loa;LoA Ranger Helmets / Gloves / Boots
loa;armor_shield_ranger_all;loa_r_sh;loa;LoA Ranger Shields
;;;;
loa;armor_body_mage_all;loa_m_bd;loa;LoA Mage Armor
loa;armor_hgb_mage_all;loa_m_hgb;loa;LoA Mage Helmets / Gloves / Boots
loa;armor_shield_mage_all;loa_m_sh;loa;LoA Mage Shields
